dataset,timestamp,algorithm,points,runtime_seconds
points_1000_20251005144400.txt,2025-10-05 15:13:58,andrews,1000,0.0021035999998275656
points_10000_20251005144400.txt,2025-10-05 15:14:26,andrews,10000,0.027891300000192132
points_1000000_20251005144400.txt,2025-10-05 15:25:37,andrews,1000000,15.61187609999979
points_1k.txt,2025-10-06 08:43:00,andrews,1000,0.004362167001090711
points_50k.txt,2025-10-06 08:44:47,andrews,50000,0.23534666699924855
points_500k.txt,2025-10-06 08:45:21,andrews,500000,3.3066854999997304
points_5000k.txt,2025-10-06 08:46:42,andrews,5000000,42.27512004199889
points_5000k.txt,2025-10-06 09:20:23,andrews,5000000,41.72053874999983
points_10000k.txt,2025-10-06 09:22:22,andrews,10000000,93.26253899999938
points_1k.txt,2025-10-06 09:35:59,andrews,5000000,46.05935766699986
points_50k.txt,2025-10-06 09:36:44,andrews,50000,0.2606334580013936
points_50k.txt,2025-10-06 09:36:49,quickhull,50000,0.9883652079988678
points_50k.txt,2025-10-06 09:44:04,andrews,50000,0.258595666000474
points_500k.txt,2025-10-06 09:44:33,quickhull,500000,17.91430954200041
points_1k.txt,2025-10-06 09:46:08,andrews,5000000,44.90977816599843
points_1k.txt,2025-10-06 09:47:47,andrews,5000000,45.43716120799945
points_50k.txt,2025-10-06 09:48:35,andrews,50000,0.26059812499806867
points_50k.txt,2025-10-06 09:48:43,quickhull,50000,1.0477596670025378
points_500k.txt,2025-10-06 17:50:55,andrews,500000,3.2963883330012322
points_500k.txt,2025-10-06 17:51:26,andrews,500000,3.289920875002281
points_500k.txt,2025-10-06 17:55:07,andrews,500000,3.2761309160014207
points_500k.txt,2025-10-06 17:55:33,quickhull,500000,17.635056375002023
points_50k.txt,2025-10-07 15:03:09,andrews,50000,0.20806241699756356
points_50k.txt,2025-10-07 15:03:15,quickhull,50000,0.8201505830002134
points_50k.txt,2025-10-07 15:49:05,andrews,50000,0.1878566250015865
points_500k.txt,2025-10-07 15:49:14,andrews,500000,2.588240916003997
points_500k.txt,2025-10-07 15:49:36,quickhull,500000,0.6744711659994209
points_5000k.txt,2025-10-07 15:50:59,quickhull,5000000,6.8483825830044225
points_500k.txt,2025-10-07 17:50:36,andrews,500000,3.259542958003294
points_500k.txt,2025-10-07 17:50:42,quickhull,500000,0.9536229580044164
points_5000k.txt,2025-10-07 17:51:17,quickhull,5000000,9.635029333003331
points_10000k.txt,2025-10-07 17:52:44,quickhull,10000000,24.453145499996026
points_50000k.txt,2025-10-07 18:02:04,quickhull,50000000,176.98695220900117
points_500k.txt,2025-10-07 19:24:36,quickhull,500000,1.2431599170085974
points_500k.txt,2025-10-07 19:24:46,andrews,500000,4.05450104099873
points_50k.txt,2025-10-08 14:07:29,andrews,50000,0.25932699999248143
points_500k.txt,2025-10-08 14:07:38,andrews,500000,2.795058957999572
points_500k.txt,2025-10-08 14:07:41,quickhull,500000,0.6788816670014057
points_50k.txt,2025-10-08 14:36:34,andrews,50000,0.20127562500420026
points_50k.txt,2025-10-08 14:36:37,quickhull,50000,0.06514879199676216
points_500k.txt,2025-10-08 14:36:45,quickhull,500000,0.6775366660003783
points_500k.txt,2025-10-08 14:36:52,andrews,500000,2.6750452910055174
points_5000k.txt,2025-10-08 14:37:38,andrews,5000000,36.65206299998681
points_5000k.txt,2025-10-08 14:37:53,quickhull,5000000,7.3414180830004625
points_10000k.txt,2025-10-08 14:39:34,andrews,10000000,79.98184366700298
points_10000k.txt,2025-10-08 14:40:04,quickhull,10000000,16.248154458997305
points_50000k.txt,2025-10-08 15:05:56,quickhull,50000000,124.55030187500233
